ID,locality,zipcode,Building condition,Price,Kitchen type,Living area,Furnished,Surface of the plot,Number of frontages,Swimming pool,Bedrooms,Garden,Garden surface,Terrace,Terrace surface,Type of property
9466117,beveren-leie,8791,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10206647,ronse,9600,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
9717425,liege,4000,Good,279000,Installed,237 m² square meters,FALSE,283 m² square meters,2,FALSE,5,TRUE,117 m² square meters,FALSE,0,Apartment
10165375,huy,4500,Good,279000,Semi equipped,290 m² square meters,FALSE,204 m² square meters,4,FALSE,3,TRUE,100 m² square meters,TRUE,10 m² square meters,House
10206439,bruxelles,1000,To reFalsevate,280000,Installed,75 m² square meters,FALSE,17 m² square meters,2,FALSE,5,FALSE,0,FALSE,0,Apartment
9408963,lommel,3920,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10145733,zandbergen,9506,To be done up,287000,Semi equipped,200 m² square meters,FALSE,848 m² square meters,4,FALSE,4,TRUE,430 m² square meters,TRUE,30 m² square meters,House
10223508,juprelle,4458,Good,289000,Installed,175 m² square meters,FALSE,857 m² square meters,3,FALSE,3,TRUE,350 m² square meters,TRUE,74 m² square meters,House
10015238,neufchateau-petitvoir,6840,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10202569,la-louviere,7100,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
9920179,willebroek,2830,To reFalsevate,295000,Semi equipped,80 m² square meters,FALSE,350 m² square meters,2,FALSE,4,FALSE,0,FALSE,0,Mansion
10145147,chaudfontaine-beaufays,4052,To reFalsevate,295000,Falset installed,180 m² square meters,FALSE,555 m² square meters,4,FALSE,4,TRUE,380 m² square meters,TRUE,0,Mansion
10148823,saint-hubert,6870,To reFalsevate,295000,Installed,229 m² square meters,FALSE,5798 m² square meters,4,FALSE,6,FALSE,0,TRUE,0,House
10088318,mons,7000,Good,295000,Installed,250 m² square meters,FALSE,3600 m² square meters,3,FALSE,5,TRUE,2940 m² square meters,TRUE,52 m² square meters,House
10304070,liege,4000,Good,299000,Falset installed,239 m² square meters,FALSE,108 m² square meters,2,FALSE,4,FALSE,0,FALSE,0,Apartment
10164869,bellevaux-ligneuville,4960,To be done up,299000,Semi equipped,788 m² square meters,FALSE,2319 m² square meters,4,FALSE,8,TRUE,1873 m² square meters,TRUE,0,House
10292781,libramont-chevigny,6800,Good,299000,Falset installed,140 m² square meters,FALSE,1152 m² square meters,4,FALSE,5,TRUE,1000 m² square meters,TRUE,30 m² square meters,House
10267563,libin,6890,To reFalsevate,299000,Installed,174 m² square meters,FALSE,1187 m² square meters,3,FALSE,4,TRUE,725 m² square meters,TRUE,85 m² square meters,House
10215759,courcelles,6180,Good,300000,Installed,264 m² square meters,FALSE,2900 m² square meters,3,FALSE,4,TRUE,2900 m² square meters,FALSE,0,House
10204426,soignies,7062,As new,300000,Installed,149 m² square meters,FALSE,268 m² square meters,2,FALSE,3,FALSE,0,TRUE,0,House
10246131,meerhout,2450,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
9969349,ronse,9600,To reFalsevate,305000,Installed,302 m² square meters,FALSE,1195 m² square meters,4,FALSE,5,TRUE,555 m² square meters,TRUE,45 m² square meters,House
9864242,ellikom,3670,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10096555,huy,4500,Good,310000,Falset installed,213 m² square meters,FALSE,119 m² square meters,2,FALSE,4,FALSE,0,FALSE,0,House
